Group,Conditions,Absorbance,Abs_to_pg/ml,Supernatant IL-1B (ng/ml)
WT,WTvsEV,0.115,7.797691710132064,0.15595383420264128
WT,WTvsEV,0.111,6.563644434579959,0.13127288869159917
WT,WTvsEV,0.126,11.19132171790035,0.223826434358007
WT,WTvsS2,0.612,161.12806569748102,3.2225613139496203
WT,WTvsS2,0.634,167.9153257130176,3.3583065142603523
WT,WTvsS2,0.581,151.5641993119522,3.031283986239044
WT,WTvs229E,0.611,160.81955387859298,3.2163910775718594
WT,WTvs229E,0.704,189.5111530351794,3.790223060703588
WT,WTvs229E,0.611,160.81955387859298,3.2163910775718594
WT,WTvsNL63,0.53,135.83009654866288,2.7166019309732574
WT,WTvsNL63,0.65,172.851514815226,3.45703029630452
WT,WTvsNL63,0.544,140.14926201309527,2.8029852402619055
WT,WTvsHKU1,0.431,105.28742647874832,2.1057485295749663
WT,WTvsHKU1,0.447,110.22361558095673,2.2044723116191345
WT,WTvsHKU1,0.259,52.22339363000782,1.0444678726001564
WT,WTvsS1,0.421,102.20230828986806,2.044046165797361
WT,WTvsS1,0.445,109.60659194318069,2.1921318388636135
WT,WTvsS1,0.32,71.0426145821774,1.4208522916435482
WT,WTvsMERS,0.606,159.27699478415286,3.1855398956830574
WT,WTvsMERS,0.609,160.20253024081694,3.204050604816339
WT,WTvsMERS,0.382,90.17034735323502,1.8034069470647003
WT,WTvsMHV,0.524,133.97902563533472,2.679580512706694
WT,WTvsMHV,0.57,148.1705693041839,2.963411386083678
WT,WTvsMHV,0.309,67.64898457440913,1.3529796914881826
R40W,R40WvsEV,0.119,9.031738985684166,0.1806347797136833
R40W,R40WvsEV,0.125,10.882809899012324,0.21765619798024646
R40W,R40WvsEV,0.123,10.26578626123627,0.2053157252247254
R40W,R40WvsS2,0.529,135.52158472977487,2.7104316945954974
R40W,R40WvsS2,0.621,163.90467206747326,3.278093441349465
R40W,R40WvsS2,0.888,246.27732771057623,4.925546554211524
R40W,R40Wvs229E,0.596,156.1918765952726,3.1238375319054517
R40W,R40Wvs229E,0.628,166.06425479968945,3.321285095993789
R40W,R40Wvs229E,0.92,256.1497059149931,5.122994118299862
R40W,R40WvsNL63,0.486,122.25557651758973,2.4451115303517943
R40W,R40WvsNL63,0.542,139.5322383753192,2.7906447675063837
R40W,R40WvsNL63,0.754,204.93674397958074,4.098734879591615
R40W,R40WvsHKU1,0.493,124.41515924980591,2.488303184996118
R40W,R40WvsHKU1,0.399,95.41504827433147,1.9083009654866294
R40W,R40WvsHKU1,0.313,68.88303184996123,1.3776606369992246
R40W,R40WvsS1,0.664,177.1706802796584,3.543413605593168
R40W,R40WvsS1,0.62,163.59616024858522,3.271923204971704
R40W,R40WvsS1,0.698,187.66008212185125,3.753201642437025
R40W,R40WvsMERS,0.647,171.92597935856193,3.4385195871712386
R40W,R40WvsMERS,0.587,153.41527022528035,3.068305404505607
R40W,R40WvsMERS,0.732,198.14948396404415,3.962989679280883
R40W,R40WvsMHV,0.655,174.39407390966616,3.4878814781933234
R40W,R40WvsMHV,0.522,133.36200199755868,2.6672400399511735
R40W,R40WvsMHV,0.529,135.52158472977487,2.7104316945954974
